Season,Round,Team,Opp,Result,Series,Best_Player,Best_VORP,Second_Player,Second_VORP,Carry_Delta,Opp_Best_Player,Opp_Best_VORP,Team_SRS,Opp_SRS,SRS_Delta
2012,Eastern Conf First Round,BOS,ATL,W,4-2,Rajon Rondo,1.7,Kevin Garnett*,1.1,0.6,Josh Smith,0.3,2.26,2.67,-0.41
2012,Eastern Conf First Round,ATL,BOS,L,2-4,Josh Smith,0.3,Jeff Teague,0.3,0.0,Rajon Rondo,1.7,2.67,2.26,0.41
2012,Western Conf First Round,SAS,UTA,W,4-0,Tim Duncan*,0.8,Boris Diaw,0.5,0.3,Al Jefferson,0.3,7.28,0.92,6.36
2012,Western Conf First Round,UTA,SAS,L,0-4,Al Jefferson,0.3,Derrick Favors,0.1,0.2,Tim Duncan*,0.8,0.92,7.28,-6.36
2012,Western Conf First Round,OKC,DAL,W,4-0,Kevin Durant,2.2,Russell Westbrook,1.0,1.2,Jason Kidd*,0.3,6.44,1.78,4.66
2012,Western Conf First Round,DAL,OKC,L,0-4,Jason Kidd*,0.3,Dirk Nowitzki*,0.2,0.1,Kevin Durant,2.2,1.78,6.44,-4.66
2012,Western Conf First Round,LAL,DEN,W,4-3,Kobe Bryant*,0.9,Andrew Bynum,0.7,0.2,Ty Lawson,0.5,1.96,3.16,-1.2
2012,Western Conf First Round,DEN,LAL,L,3-4,Ty Lawson,0.5,Corey Brewer,0.2,0.3,Kobe Bryant*,0.9,3.16,1.96,1.2
2012,Western Conf First Round,LAC,MEM,W,4-3,Chris Paul,0.6,Blake Griffin,0.5,0.1,Marc Gasol,0.5,2.82,2.43,0.39
2012,Western Conf First Round,MEM,LAC,L,3-4,Marc Gasol,0.5,Mike Conley,0.3,0.2,Chris Paul,0.6,2.43,2.82,-0.39
2012,Eastern Conf Semifinals,MIA,IND,W,4-2,LeBron James,3.1,Dwyane Wade*,1.7,1.4,George Hill,0.6,5.72,2.6,3.12
